001,Bulbasaur,45,49,49,45,65
002,Ivysaur,60,62,63,60,80
003,Venusaur,80,82,83,80,100
004,Charmander,39,52,43,65,50
005,Charmeleon,58,64,58,80,65
006,Charizard,78,84,78,100,85
007,Squirtle,44,48,65,43,50
008,Wartortle,59,63,80,58,65
009,Blastoise,79,83,100,78,85
010,Caterpie,45,30,35,45,20
011,Metapod,50,20,55,30,25
012,Butterfree,60,45,50,70,80
013,Weedle,40,35,30,50,20
014,Kakuna,45,25,50,35,25
015,Beedrill,65,80,40,75,45
016,Pidgey,40,45,40,56,35
017,Pidgeotto,63,60,55,71,50
018,Pidgeot,83,80,75,91,70
019,Rattata,30,56,35,72,25
020,Raticate,55,81,60,97,50
021,Spearow,40,60,30,70,31
022,Fearow,65,90,65,100,61
023,Ekans,35,60,44,55,40
024,Arbok,60,85,69,80,65
025,Pikachu,35,55,30,90,50
026,Raichu,60,90,55,100,90
027,Sandshrew,50,75,85,40,30
028,Sandslash,75,100,110,65,55
029,Nidoran♀,55,47,52,41,40
030,Nidorina,70,62,67,56,55
031,Nidoqueen,90,82,87,76,75
032,Nidoran♂,46,57,40,50,40
033,Nidorino,61,72,57,65,55
034,Nidoking,81,92,77,85,75
035,Clefairy,70,45,48,35,60
036,Clefable,95,70,73,60,85
037,Vulpix,38,41,40,65,65
038,Ninetales,73,76,75,100,100
039,Jigglypuff,115,45,20,20,25
040,Wigglytuff,140,70,45,45,50
041,Zubat,40,45,35,55,40
042,Golbat,75,80,70,90,75
043,Oddish,45,50,55,30,75
044,Gloom,60,65,70,40,85
045,Vileplume,75,80,85,50,100
046,Paras,35,70,55,25,55
047,Parasect,60,95,80,30,80
048,Venonat,60,55,50,45,40
049,Venomoth,70,65,60,90,90
050,Diglett,10,55,25,95,45
051,Dugtrio,35,80,50,120,70
052,Meowth,40,45,35,90,40
053,Persian,65,70,60,115,65
054,Psyduck,50,52,48,55,50
055,Golduck,80,82,78,85,80
056,Mankey,40,80,35,70,35
057,Primeape,65,105,60,95,60
058,Growlithe,55,70,45,60,50
059,Arcanine,90,110,80,95,80
060,Poliwag,40,50,40,90,40
061,Poliwhirl,65,65,65,90,50
062,Poliwrath,90,85,95,70,70
063,Abra,25,20,15,90,105
064,Kadabra,40,35,30,105,120
065,Alakazam,55,50,45,120,135
066,Machop,70,80,50,35,35
067,Machoke,80,100,70,45,50
068,Machamp,90,130,80,55,65
069,Bellsprout,50,75,35,40,70
070,Weepinbell,65,90,50,55,85
071,Victreebel,80,105,65,70,100
072,Tentacool,40,40,35,70,100
073,Tentacruel,80,70,65,100,120
074,Geodude,40,80,100,20,30
075,Graveler,55,95,115,35,45
076,Golem,80,110,130,45,55
077,Ponyta,50,85,55,90,65
078,Rapidash,65,100,70,105,80
079,Slowpoke,90,65,65,15,40
080,Slowbro,95,75,110,30,80
081,Magnemite,25,35,70,45,95
082,Magneton,50,60,95,70,120
083,Farfetch'd,52,65,55,60,58
084,Doduo,35,85,45,75,35
085,Dodrio,60,110,70,100,60
086,Seel,65,45,55,45,70
087,Dewgong,90,70,80,70,95
088,Grimer,80,80,50,25,40
089,Muk,105,105,75,50,65
090,Shellder,30,65,100,40,45
091,Cloyster,50,95,180,70,85
092,Gastly,30,35,30,80,100
093,Haunter,45,50,45,95,115
094,Gengar,60,65,60,110,130
095,Onix,35,45,160,70,30
096,Drowzee,60,48,45,42,90
097,Hypno,85,73,70,67,115
098,Krabby,30,105,90,50,25
099,Kingler,55,130,115,75,50
100,Voltorb,40,30,50,100,55
101,Electrode,60,50,70,140,80
102,Exeggcute,60,40,80,40,60
103,Exeggutor,95,95,85,55,125
104,Cubone,50,50,95,35,40
105,Marowak,60,80,110,45,50
106,Hitmonlee,50,120,53,87,35
107,Hitmonchan,50,105,79,76,35
108,Lickitung,90,55,75,30,60
109,Koffing,40,65,95,35,60
110,Weezing,65,90,120,60,85
111,Rhyhorn,80,85,95,25,30
112,Rhydon,105,130,120,40,45
113,Chansey,250,5,5,50,105
114,Tangela,65,55,115,60,100
115,Kangaskhan,105,95,80,90,40
116,Horsea,30,40,70,60,70
117,Seadra,55,65,95,85,95
118,Goldeen,45,67,60,63,50
119,Seaking,80,92,65,68,80
120,Staryu,30,45,55,85,70
121,Starmie,60,75,85,115,100
122,Mr. Mime,40,45,65,90,100
123,Scyther,70,110,80,105,55
124,Jynx,65,50,35,95,95
125,Electabuzz,65,83,57,105,85
126,Magmar,65,95,57,93,85
127,Pinsir,65,125,100,85,55
128,Tauros,75,100,95,110,70
129,Magikarp,20,10,55,80,20
130,Gyarados,95,125,79,81,100
131,Lapras,130,85,80,60,95
132,Ditto,48,48,48,48,48
133,Eevee,55,55,50,55,65
134,Vaporeon,130,65,60,65,110
135,Jolteon,65,65,60,130,110
136,Flareon,65,130,60,65,110
137,Porygon,65,60,70,40,75
138,Omanyte,35,40,100,35,90
139,Omastar,70,60,125,55,115
140,Kabuto,30,80,90,55,45
141,Kabutops,60,115,105,80,70
142,Aerodactyl,80,105,65,130,60
143,Snorlax,160,110,65,30,65
144,Articuno,90,85,100,85,125
145,Zapdos,90,90,85,100,125
146,Moltres,90,100,90,90,125
147,Dratini,41,64,45,50,50
148,Dragonair,61,84,65,70,70
149,Dragonite,91,134,95,80,100
150,Mewtwo,106,110,90,130,154
151,Mew,100,100,100,100,100